medicine_id,medicine_name,manufacturer,quantity_available,expiry_date,category,form
5380,Omeprazole,Mankind,89,2026-05-07,Non-Generic,Ointment
5381,Azithromycin,Alkem,47,2026-04-29,Generic,Ointment
5382,Azithromycin,Biocon,45,2026-04-10,Non-Generic,Injection
5383,Amoxicillin,Sun Pharma,96,2026-05-22,Generic,Ointment
5384,Amoxicillin,Sun Pharma,88,2026-05-22,Generic,Tablet
5385,Azithromycin,Dr. Reddy's,42,2025-08-27,Generic,Tablet
5386,Azithromycin,Sun Pharma,27,2025-11-30,Non-Generic,Injection
5387,Paracetamol,Mankind,92,2025-11-15,Generic,Ointment
5388,Omeprazole,Glenmark,69,2025-12-04,Generic,Capsule
5389,Paracetamol,Zydus,40,2026-01-22,Non-Generic,Syrup
5390,Amoxicillin,Alkem,85,2025-07-29,Generic,Syrup
5391,Azithromycin,Sun Pharma,21,2026-03-07,Generic,Syrup
5392,Ibuprofen,Sun Pharma,47,2025-08-04,Generic,Tablet
5393,Levothyroxine,Dr. Reddy's,70,2026-05-02,Generic,Syrup
5394,Ciprofloxacin,Cipla,98,2026-03-10,Non-Generic,Tablet
5395,Ciprofloxacin,Alkem,96,2025-08-23,Non-Generic,Ointment
5396,Levothyroxine,Dr. Reddy's,41,2026-02-13,Generic,Capsule
5397,Omeprazole,Zydus,8,2025-09-19,Non-Generic,Ointment
5398,Ibuprofen,Biocon,27,2025-09-28,Generic,Injection
5399,Azithromycin,Zydus,72,2025-10-12,Generic,Capsule
5400,Ibuprofen,Dr. Reddy's,17,2026-06-12,Non-Generic,Capsule
5401,Ibuprofen,Alkem,12,2025-09-28,Generic,Ointment
5402,Azithromycin,Dr. Reddy's,14,2026-03-17,Generic,Tablet
5403,Metformin,Lupin,17,2026-05-22,Non-Generic,Ointment
5404,Omeprazole,Dr. Reddy's,13,2025-10-07,Generic,Capsule
5405,Ciprofloxacin,Torrent Pharma,100,2025-11-16,Non-Generic,Tablet
5406,Ciprofloxacin,Alkem,72,2025-09-07,Non-Generic,Syrup
5407,Hydroxychloroquine,Sun Pharma,93,2025-09-29,Generic,Syrup
5408,Ibuprofen,Sun Pharma,48,2025-12-04,Non-Generic,Syrup
5409,Hydroxychloroquine,Sun Pharma,64,2026-06-09,Generic,Capsule
5410,Aspirin,Dr. Reddy's,57,2025-10-09,Generic,Ointment
5411,Azithromycin,Zydus,37,2026-03-11,Generic,Syrup
5412,Azithromycin,Cipla,10,2025-09-05,Generic,Tablet
5413,Paracetamol,Biocon,53,2026-06-02,Non-Generic,Syrup
5414,Omeprazole,Glenmark,36,2025-10-31,Generic,Tablet
5415,Levothyroxine,Glenmark,62,2026-01-06,Generic,Ointment
5416,Amoxicillin,Sun Pharma,79,2025-10-31,Generic,Capsule
5417,Paracetamol,Mankind,50,2025-10-13,Non-Generic,Syrup
5418,Ibuprofen,Lupin,35,2026-03-07,Generic,Ointment
5419,Paracetamol,Zydus,13,2026-03-24,Generic,Ointment
5420,Hydroxychloroquine,Biocon,1,2025-07-29,Generic,Tablet
5421,Ibuprofen,Biocon,54,2026-02-28,Non-Generic,Injection
5422,Metformin,Dr. Reddy's,67,2026-05-25,Generic,Capsule
5423,Metformin,Cipla,21,2025-11-22,Non-Generic,Ointment
5424,Aspirin,Alkem,25,2025-12-05,Non-Generic,Tablet
5425,Azithromycin,Torrent Pharma,58,2025-12-08,Generic,Injection
5426,Aspirin,Cipla,30,2026-04-17,Generic,Tablet
5427,Amoxicillin,Dr. Reddy's,71,2026-02-05,Non-Generic,Tablet
5428,Azithromycin,Dr. Reddy's,86,2026-06-24,Generic,Tablet
5429,Hydroxychloroquine,Sun Pharma,23,2025-09-05,Generic,Ointment
5430,Azithromycin,Cipla,49,2025-11-01,Generic,Ointment
5431,Ciprofloxacin,Torrent Pharma,3,2025-08-01,Generic,Tablet
5432,Ciprofloxacin,Sun Pharma,4,2025-08-31,Generic,Injection
5433,Amoxicillin,Biocon,66,2026-01-21,Generic,Syrup
5434,Aspirin,Zydus,53,2026-03-29,Generic,Tablet
5435,Ibuprofen,Torrent Pharma,55,2025-10-29,Non-Generic,Syrup
5436,Metformin,Zydus,92,2026-06-21,Non-Generic,Injection
5437,Aspirin,Mankind,15,2025-11-06,Non-Generic,Ointment
5438,Ibuprofen,Alkem,72,2026-01-08,Generic,Tablet
5439,Azithromycin,Alkem,29,2026-05-20,Non-Generic,Injection
5440,Omeprazole,Dr. Reddy's,20,2025-08-07,Generic,Capsule
5441,Aspirin,Lupin,90,2025-08-03,Non-Generic,Capsule
5442,Ciprofloxacin,Lupin,84,2025-10-28,Generic,Injection
5443,Hydroxychloroquine,Mankind,82,2026-01-30,Generic,Ointment
5444,Azithromycin,Glenmark,49,2026-02-18,Generic,Capsule
5445,Ibuprofen,Sun Pharma,98,2026-05-25,Non-Generic,Tablet
5446,Metformin,Mankind,78,2025-11-22,Non-Generic,Tablet
5447,Omeprazole,Cipla,52,2026-05-23,Generic,Syrup
5448,Ciprofloxacin,Glenmark,53,2026-01-28,Non-Generic,Capsule
5449,Amoxicillin,Cipla,18,2026-05-16,Non-Generic,Ointment
5450,Paracetamol,Lupin,67,2025-10-15,Generic,Tablet
5451,Ibuprofen,Zydus,62,2026-01-31,Non-Generic,Tablet
5452,Amoxicillin,Mankind,38,2025-08-26,Non-Generic,Ointment
5453,Ciprofloxacin,Biocon,53,2025-09-18,Generic,Injection
5454,Levothyroxine,Lupin,96,2026-05-09,Non-Generic,Syrup
5455,Ciprofloxacin,Glenmark,55,2026-04-09,Non-Generic,Capsule
5456,Ciprofloxacin,Alkem,6,2026-01-27,Generic,Capsule
5457,Azithromycin,Mankind,60,2025-08-15,Non-Generic,Tablet
5458,Amoxicillin,Biocon,37,2026-05-10,Generic,Injection
5459,Metformin,Biocon,9,2026-02-16,Non-Generic,Tablet
5460,Omeprazole,Glenmark,82,2026-05-01,Non-Generic,Ointment
5461,Metformin,Mankind,14,2026-03-28,Non-Generic,Syrup
5462,Hydroxychloroquine,Cipla,23,2026-06-24,Generic,Tablet
5463,Levothyroxine,Sun Pharma,71,2026-06-20,Generic,Ointment
5464,Ibuprofen,Sun Pharma,50,2025-08-06,Generic,Injection
5465,Metformin,Zydus,9,2026-05-02,Generic,Tablet
5466,Hydroxychloroquine,Sun Pharma,93,2026-04-10,Non-Generic,Ointment
5467,Amoxicillin,Lupin,9,2026-06-08,Non-Generic,Syrup
5468,Metformin,Sun Pharma,45,2026-06-11,Generic,Injection
5469,Paracetamol,Mankind,56,2026-03-16,Non-Generic,Capsule
5470,Paracetamol,Alkem,1,2026-06-18,Non-Generic,Ointment
5471,Ibuprofen,Torrent Pharma,5,2025-09-30,Non-Generic,Tablet
5472,Ibuprofen,Sun Pharma,12,2025-09-10,Generic,Capsule
5473,Azithromycin,Dr. Reddy's,81,2026-01-01,Generic,Syrup
5474,Ciprofloxacin,Cipla,64,2025-10-02,Generic,Tablet
5475,Paracetamol,Sun Pharma,65,2025-09-30,Non-Generic,Ointment
5476,Amoxicillin,Alkem,98,2026-01-06,Generic,Capsule
5477,Omeprazole,Alkem,86,2026-06-13,Generic,Tablet
5478,Hydroxychloroquine,Glenmark,46,2025-08-14,Generic,Injection
5479,Omeprazole,Sun Pharma,4,2025-10-29,Generic,Capsule
5480,Hydroxychloroquine,Biocon,45,2026-04-24,Generic,Ointment
5481,Metformin,Glenmark,46,2026-06-09,Non-Generic,Tablet
5482,Hydroxychloroquine,Alkem,73,2026-04-08,Non-Generic,Syrup
5483,Hydroxychloroquine,Dr. Reddy's,39,2026-06-13,Generic,Tablet
5484,Ciprofloxacin,Torrent Pharma,35,2026-02-19,Non-Generic,Syrup
5485,Azithromycin,Torrent Pharma,45,2025-08-22,Generic,Tablet
5486,Amoxicillin,Sun Pharma,45,2026-03-25,Generic,Injection
5487,Ciprofloxacin,Sun Pharma,51,2026-05-26,Generic,Injection
5488,Aspirin,Zydus,11,2026-06-13,Non-Generic,Capsule
5489,Hydroxychloroquine,Biocon,37,2026-05-17,Non-Generic,Injection
5490,Aspirin,Biocon,35,2025-10-06,Generic,Tablet
5491,Hydroxychloroquine,Alkem,91,2026-05-24,Non-Generic,Tablet
5492,Metformin,Zydus,70,2025-08-07,Generic,Syrup
5493,Hydroxychloroquine,Sun Pharma,44,2026-01-19,Non-Generic,Ointment
5494,Omeprazole,Glenmark,33,2025-11-28,Non-Generic,Injection
5495,Ibuprofen,Alkem,65,2026-05-25,Non-Generic,Syrup
5496,Hydroxychloroquine,Lupin,42,2025-12-01,Generic,Ointment
5497,Metformin,Lupin,41,2026-05-20,Generic,Injection
5498,Levothyroxine,Alkem,47,2025-09-16,Non-Generic,Capsule
5499,Paracetamol,Torrent Pharma,12,2025-12-25,Generic,Injection
